data_path,label_path
../../../data/brats2021_seg/BraTS2021_Training_Data/BraTS2021_00449/BraTS2021_00449_transverse_modalities.pt,../../../data/brats2021_seg/BraTS2021_Training_Data/BraTS2021_00449/BraTS2021_00449_transverse_label.pt
../../../data/brats2021_seg/BraTS2021_Training_Data/BraTS2021_01666/BraTS2021_01666_transverse_modalities.pt,../../../data/brats2021_seg/BraTS2021_Training_Data/BraTS2021_01666/BraTS2021_01666_transverse_label.pt
../../../data/brats2021_seg/BraTS2021_Training_Data/BraTS2021_01610/BraTS2021_01610_transverse_modalities.pt,../../../data/brats2021_seg/BraTS2021_Training_Data/BraTS2021_01610/BraTS2021_01610_transverse_label.pt
../../../data/brats2021_seg/BraTS2021_Training_Data/BraTS2021_00605/BraTS2021_00605_coronal_modalities.pt,../../../data/brats2021_seg/BraTS2021_Training_Data/BraTS2021_00605/BraTS2021_00605_coronal_label.pt
../../../data/brats2021_seg/BraTS2021_Training_Data/BraTS2021_01423/BraTS2021_01423_coronal_modalities.pt,../../../data/brats2021_seg/BraTS2021_Training_Data/BraTS2021_01423/BraTS2021_01423_coronal_label.pt
../../../data/brats2021_seg/BraTS2021_Training_Data/BraTS2021_00483/BraTS2021_00483_transverse_modalities.pt,../../../data/brats2021_seg/BraTS2021_Training_Data/BraTS2021_00483/BraTS2021_00483_transverse_label.pt
../../../data/brats2021_seg/BraTS2021_Training_Data/BraTS2021_00611/BraTS2021_00611_sagittal_modalities.pt,../../../data/brats2021_seg/BraTS2021_Training_Data/BraTS2021_00611/BraTS2021_00611_sagittal_label.pt
../../../data/brats2021_seg/BraTS2021_Training_Data/BraTS2021_00523/BraTS2021_00523_coronal_modalities.pt,../../../data/brats2021_seg/BraTS2021_Training_Data/BraTS2021_00523/BraTS2021_00523_coronal_label.pt
../../../data/brats2021_seg/BraTS2021_Training_Data/BraTS2021_01348/BraTS2021_01348_sagittal_modalities.pt,../../../data/brats2021_seg/BraTS2021_Training_Data/BraTS2021_01348/BraTS2021_01348_sagittal_label.pt
../../../data/brats2021_seg/BraTS2021_Training_Data/BraTS2021_01642/BraTS2021_01642_coronal_modalities.pt,../../../data/brats2021_seg/BraTS2021_Training_Data/BraTS2021_01642/BraTS2021_01642_coronal_label.pt
../../../data/brats2021_seg/BraTS2021_Training_Data/BraTS2021_00540/BraTS2021_00540_sagittal_modalities.pt,../../../data/brats2021_seg/BraTS2021_Training_Data/BraTS2021_00540/BraTS2021_00540_sagittal_label.pt
../../../data/brats2021_seg/BraTS2021_Training_Data/BraTS2021_01422/BraTS2021_01422_coronal_modalities.pt,../../../data/brats2021_seg/BraTS2021_Training_Data/BraTS2021_01422/BraTS2021_01422_coronal_label.pt
